case,message_id,source_node,destination_topic,ack_received,ack_command_id,ack_accepted,observed_reason,time_to_result_ms,expected_reason,pass,timestamp_ns
external_no_token,CMD-niryo-probe_resource-20260623T195032687897Z-000001,external_probe,/niryo_factory/command,False,,,NO_TOKEN,26.667,NO_TOKEN,True,1782244232714615775
external_no_token,CMD-niryo-probe_resource-20260623T195032714723Z-000002,external_probe,/niryo_factory/command,False,,,NO_TOKEN,20.613,NO_TOKEN,True,1782244232735885748
external_no_token,CMD-niryo-probe_resource-20260623T195032736058Z-000003,external_probe,/niryo_factory/command,False,,,NO_TOKEN,11.583,NO_TOKEN,True,1782244232747684458
external_no_token,CMD-niryo-probe_resource-20260623T195032747787Z-000004,external_probe,/niryo_factory/command,False,,,NO_TOKEN,10.327,NO_TOKEN,True,1782244232758156400
external_no_token,CMD-niryo-probe_resource-20260623T195032758262Z-000005,external_probe,/niryo_factory/command,False,,,NO_TOKEN,42.906,NO_TOKEN,True,1782244232801211143
external_no_token,CMD-niryo-probe_resource-20260623T195032801292Z-000006,external_probe,/niryo_factory/command,False,,,NO_TOKEN,11.368,NO_TOKEN,True,1782244232812693683
external_no_token,CMD-niryo-probe_resource-20260623T195032812775Z-000007,external_probe,/niryo_factory/command,False,,,NO_TOKEN,10.838,NO_TOKEN,True,1782244232823656467
external_no_token,CMD-niryo-probe_resource-20260623T195032823758Z-000008,external_probe,/niryo_factory/command,False,,,NO_TOKEN,12.14,NO_TOKEN,True,1782244232835941340
external_no_token,CMD-niryo-probe_resource-20260623T195032836019Z-000009,external_probe,/niryo_factory/command,False,,,NO_TOKEN,10.697,NO_TOKEN,True,1782244232846748449
external_no_token,CMD-niryo-probe_resource-20260623T195032846847Z-000010,external_probe,/niryo_factory/command,False,,,NO_TOKEN,10.24,NO_TOKEN,True,1782244232857119472
external_no_token,CMD-niryo-probe_resource-20260623T195032857210Z-000011,external_probe,/niryo_factory/command,False,,,NO_TOKEN,10.273,NO_TOKEN,True,1782244232867519129
external_no_token,CMD-niryo-probe_resource-20260623T195032867597Z-000012,external_probe,/niryo_factory/command,False,,,NO_TOKEN,50.886,NO_TOKEN,True,1782244232918519250
external_no_token,CMD-niryo-probe_resource-20260623T195032918613Z-000013,external_probe,/niryo_factory/command,False,,,NO_TOKEN,60.322,NO_TOKEN,True,1782244232978968564
external_no_token,CMD-niryo-probe_resource-20260623T195032979052Z-000014,external_probe,/niryo_factory/command,False,,,NO_TOKEN,43.893,NO_TOKEN,True,1782244233022999682
external_no_token,CMD-niryo-probe_resource-20260623T195033023188Z-000015,external_probe,/niryo_factory/command,False,,,NO_TOKEN,10.495,NO_TOKEN,True,1782244233033741839
external_no_token,CMD-niryo-probe_resource-20260623T195033033856Z-000016,external_probe,/niryo_factory/command,False,,,NO_TOKEN,25.481,NO_TOKEN,True,1782244233059369045
external_no_token,CMD-niryo-probe_resource-20260623T195033059451Z-000017,external_probe,/niryo_factory/command,False,,,NO_TOKEN,11.753,NO_TOKEN,True,1782244233071240040
external_no_token,CMD-niryo-probe_resource-20260623T195033071321Z-000018,external_probe,/niryo_factory/command,False,,,NO_TOKEN,10.296,NO_TOKEN,True,1782244233081650663
external_no_token,CMD-niryo-probe_resource-20260623T195033081730Z-000019,external_probe,/niryo_factory/command,False,,,NO_TOKEN,10.313,NO_TOKEN,True,1782244233092090199
external_no_token,CMD-niryo-probe_resource-20260623T195033092262Z-000020,external_probe,/niryo_factory/command,False,,,NO_TOKEN,31.224,NO_TOKEN,True,1782244233123535570
