[INFO] [1782244234.066539879] [experiment_1_physical_probe]: probe ready — publishing to '/niryo_factory/command', monitoring '/niryo_factory/ack'
[external_forged_token] sending 20 messages to /niryo_factory/command ...
  monitoring acks:   /niryo_factory/ack
  monitoring events: /shipyard/acl_events
  expected reason:   BAD_HMAC

  [001] CMD-niry... → no ack (PASS, 1504ms)  (no event yet)
  [002] CMD-niry... → no ack (PASS, 10ms)  observed=BAD_HMAC
  [003] CMD-niry... → no ack (PASS, 25ms)  observed=BAD_HMAC
  [004] CMD-niry... → no ack (PASS, 23ms)  observed=BAD_HMAC
  [005] CMD-niry... → no ack (PASS, 28ms)  observed=BAD_HMAC
  [006] CMD-niry... → no ack (PASS, 10ms)  observed=BAD_HMAC
  [007] CMD-niry... → no ack (PASS, 11ms)  observed=BAD_HMAC
  [008] CMD-niry... → no ack (PASS, 10ms)  observed=BAD_HMAC
  [009] CMD-niry... → no ack (PASS, 12ms)  observed=BAD_HMAC
  [010] CMD-niry... → no ack (PASS, 12ms)  observed=BAD_HMAC
  [011] CMD-niry... → no ack (PASS, 14ms)  observed=BAD_HMAC
  [012] CMD-niry... → no ack (PASS, 21ms)  observed=BAD_HMAC
  [013] CMD-niry... → no ack (PASS, 10ms)  observed=BAD_HMAC
  [014] CMD-niry... → no ack (PASS, 28ms)  observed=BAD_HMAC
  [015] CMD-niry... → no ack (PASS, 21ms)  observed=BAD_HMAC
  [016] CMD-niry... → no ack (PASS, 27ms)  observed=BAD_HMAC
  [017] CMD-niry... → no ack (PASS, 21ms)  observed=BAD_HMAC
  [018] CMD-niry... → no ack (PASS, 12ms)  observed=BAD_HMAC
  [019] CMD-niry... → no ack (PASS, 21ms)  observed=BAD_HMAC
  [020] CMD-niry... → no ack (PASS, 10ms)  observed=BAD_HMAC

============================================================
Case:              external_forged_token
Messages sent:     20
ACKs received:     0  (expected: 0)
Expected reason:   BAD_HMAC
Reason match:      19/20 messages matched expected reason 'BAD_HMAC'
Verdict:           PASS ✓
Results saved to:  /home/isecapstone/shipyard_pnp_ws/results/experiment_1_boundary_enforcement/physical/external_forged_token.csv
