vendor,resource_id,task,command_id,T_cmd_ms,T_status_ms,T_coord_ms,physical_task_s,overhead_percent,task_state,piece_id
niryo,conveyor1,RUN_NIRYO_CONVEYOR,CMD-niryo-conveyor1-20260623T202211458924Z-000010,8.911,0.521,9.432,5.784,0.16,COMPLETED,
globalvision,globalvision_camera,LOCATE_NEXT_PIECE,CMD-globalvision-globalvision_camera-20260623T202215305974Z-000011,1.679,0.335,2.014,0.005,28.04,COMPLETED,piece-004
ufactory,xarm2,MOVE_PIECE,CMD-ufactory-xarm2-20260623T202215332743Z-000012,47.833,0.159,47.992,13.28,0.36,COMPLETED,piece-004
ufactory,xarm1,MOVE_PIECE,CMD-ufactory-xarm1-20260623T202217092127Z-000013,9.877,0.343,10.22,15.731,0.06,COMPLETED,piece-001
niryo,conveyor1,RUN_NIRYO_CONVEYOR,CMD-niryo-conveyor1-20260623T202224662400Z-000014,6.587,0.368,6.955,5.865,0.12,COMPLETED,
niryo,conveyor2,RUN_NIRYO_CONVEYOR,CMD-niryo-conveyor2-20260623T202228053966Z-000015,8.912,0.322,9.233,9.687,0.1,COMPLETED,
globalvision,globalvision_camera,LOCATE_NEXT_PIECE,CMD-globalvision-globalvision_camera-20260623T202228689504Z-000016,2.271,0.326,2.596,0.005,34.61,COMPLETED,piece-002
ufactory,xarm2,MOVE_PIECE,CMD-ufactory-xarm2-20260623T202228715863Z-000017,5.69,0.157,5.847,11.463,0.05,COMPLETED,piece-002
ufactory,xarm1,MOVE_PIECE,CMD-ufactory-xarm1-20260623T202232873699Z-000018,4.132,0.322,4.454,15.739,0.03,COMPLETED,piece-004
niryo,robot2,CAPTURE_LOCAL_VISION,CMD-niryo-robot2-20260623T202237288166Z-000019,6.493,0.398,6.891,11.59,0.06,COMPLETED,piece-001
green_conveyors,conveyor3,RUN_CONVEYOR,CMD-green_conveyors-conveyor3-20260623T202240208738Z-000020,1.461,0.568,2.028,0.834,0.24,COMPLETED,piece-002
ufactory,xarm2,MOVE_XARM_HOME,CMD-ufactory-xarm2-20260623T202240214553Z-000021,4.578,0.195,4.773,3.913,0.12,COMPLETED,
niryo,robot2,MOVE_PIECE,CMD-niryo-robot2-20260623T202248908882Z-000022,5.784,0.117,5.901,29.0,0.02,COMPLETED,piece-001
niryo,conveyor2,RUN_NIRYO_CONVEYOR,CMD-niryo-conveyor2-20260623T202248913860Z-000023,5.153,0.164,5.317,0.649,0.81,COMPLETED,
green_conveyors,conveyor3,STOP_CONVEYOR,CMD-green_conveyors-conveyor3-20260623T202250214624Z-000024,1.132,0.359,1.491,0.083,1.76,COMPLETED,piece-002
niryo,robot1,CLASSIFY_AND_PICK,CMD-niryo-robot1-20260623T202250310628Z-000025,6.048,0.215,6.264,10.732,0.06,COMPLETED,piece-002
niryo,conveyor2,RUN_NIRYO_CONVEYOR,CMD-niryo-conveyor2-20260623T202255208514Z-000026,9.581,0.4,9.981,8.526,0.12,COMPLETED,
arduino_vacuum,arduino_vacuum,PICK,CMD-arduino_vacuum-arduino_vacuum-20260623T202301071773Z-000027,1.616,0.446,2.061,1.555,0.13,COMPLETED,piece-002
niryo,robot1,LIFT_AND_PLACE,CMD-niryo-robot1-20260623T202302647509Z-000028,8.638,0.196,8.833,16.23,0.05,COMPLETED,piece-002
globalvision,globalvision_camera,LOCATE_NEXT_PIECE,CMD-globalvision-globalvision_camera-20260623T202302651726Z-000029,2.023,0.411,2.434,0.005,33.2,COMPLETED,piece-003
ufactory,xarm2,MOVE_PIECE,CMD-ufactory-xarm2-20260623T202302714399Z-000030,4.727,0.159,4.886,11.417,0.04,COMPLETED,piece-003
green_conveyors,conveyor3,RUN_CONVEYOR,CMD-green_conveyors-conveyor3-20260623T202314160282Z-000031,2.055,0.296,2.35,0.852,0.28,COMPLETED,piece-003
ufactory,xarm2,MOVE_XARM_HOME,CMD-ufactory-xarm2-20260623T202314168697Z-000032,8.926,0.599,9.525,3.969,0.24,COMPLETED,
bantam,bantam,RUN_JOB,CMD-bantam-bantam-20260623T202317951120Z-000033,3.578,0.482,4.059,48.636,0.01,COMPLETED,piece-001
niryo,robot2,CAPTURE_LOCAL_VISION,CMD-niryo-robot2-20260623T202317957376Z-000034,8.308,0.115,8.424,5.34,0.16,COMPLETED,piece-004
globalvision,globalvision_camera,LOCATE_NEXT_PIECE,CMD-globalvision-globalvision_camera-20260623T202318168924Z-000035,1.94,0.27,2.21,0.006,28.41,COMPLETED,piece-006
ufactory,xarm2,MOVE_PIECE,CMD-ufactory-xarm2-20260623T202318186659Z-000036,7.839,0.378,8.217,13.315,0.06,COMPLETED,piece-006
arduino_vacuum,arduino_vacuum,RELEASE,CMD-arduino_vacuum-arduino_vacuum-20260623T202318902008Z-000037,1.335,0.323,1.658,1.354,0.12,COMPLETED,piece-002
niryo,robot1,RETURN_HOME,CMD-niryo-robot1-20260623T202320278811Z-000038,7.428,0.384,7.812,10.263,0.08,COMPLETED,piece-002
niryo,robot2,MOVE_PIECE,CMD-niryo-robot2-20260623T202323334327Z-000039,9.128,2.624,11.752,24.243,0.05,COMPLETED,piece-004
green_conveyors,conveyor3,STOP_CONVEYOR,CMD-green_conveyors-conveyor3-20260623T202324166056Z-000040,3.093,0.323,3.416,0.082,3.98,COMPLETED,piece-003
niryo,conveyor1,RUN_NIRYO_CONVEYOR,CMD-niryo-conveyor1-20260623T202327858867Z-000041,6.265,0.141,6.406,5.529,0.12,COMPLETED,
niryo,robot1,CLASSIFY_AND_PICK,CMD-niryo-robot1-20260623T202330591473Z-000042,4.899,0.252,5.151,10.434,0.05,COMPLETED,piece-003
ufactory,xarm1,MOVE_PIECE,CMD-ufactory-xarm1-20260623T202333370896Z-000043,6.409,0.24,6.649,15.104,0.04,COMPLETED,piece-006
arduino_vacuum,arduino_vacuum,PICK,CMD-arduino_vacuum-arduino_vacuum-20260623T202341057111Z-000044,1.273,0.299,1.573,1.555,0.1,COMPLETED,piece-003
niryo,robot1,LIFT_AND_PLACE,CMD-niryo-robot1-20260623T202342623538Z-000045,10.89,0.233,11.122,16.211,0.07,COMPLETED,piece-003
globalvision,globalvision_camera,LOCATE_NEXT_PIECE,CMD-globalvision-globalvision_camera-20260623T202342627241Z-000046,19.34,0.506,19.846,0.007,75.01,COMPLETED,piece-005
ufactory,xarm2,MOVE_PIECE,CMD-ufactory-xarm2-20260623T202342683091Z-000047,4.783,0.427,5.21,11.415,0.05,COMPLETED,piece-005
laser,laser,RUN_JOB,CMD-laser-laser-20260623T202348519216Z-000048,2.615,0.315,2.93,22.882,0.01,COMPLETED,piece-006
