iteration,t_cmd_build_us,t_cmd_serialize_us,t_cmd_parse_us,t_cmd_verify_us,t_ack_build_us,t_ack_serialize_us,t_status_build_us,t_status_serialize_us,T_coord_total_us
1,118.31,25.772,17.53,14.457,32.895,14.108,24.723,12.641,260.436
2,38.064,11.873,12.99,9.428,21.092,9.918,22.558,10.826,136.749
3,69.98,11.873,11.245,8.59,20.533,9.499,21.511,10.895,164.126
4,34.292,9.987,10.965,7.752,19.835,9.219,20.394,11.104,123.548
5,33.803,10.336,10.966,7.752,18.438,10.197,20.323,9.708,121.523
6,28.634,9.988,10.476,7.263,19.905,8.73,19.905,10.127,115.028
7,30.521,10.755,9.01,9.568,19.276,10.057,20.463,57.759,167.409
8,31.918,10.685,9.918,7.612,19.626,8.939,20.184,10.826,119.708
9,29.333,10.546,10.057,7.613,19.625,8.521,20.533,10.895,117.123
10,50.635,10.895,10.546,7.263,20.324,8.73,19.835,10.476,138.704
11,30.381,9.987,9.918,7.263,19.486,9.079,19.975,9.079,115.168
12,31.987,10.337,9.987,7.752,19.486,9.079,19.486,10.057,118.171
13,29.752,9.638,10.896,9.498,20.044,8.102,19.555,10.476,117.961
14,30.031,19.556,9.987,8.241,20.813,9.219,19.346,11.174,128.367
15,30.8,10.267,9.917,7.263,19.975,9.079,19.975,10.057,117.333
16,30.521,9.917,14.806,7.753,20.393,9.149,20.883,10.127,123.549
17,28.914,11.664,9.987,7.263,19.905,8.66,33.454,10.895,130.742
18,30.59,9.499,11.034,8.032,19.206,9.01,19.625,10.406,117.402
19,29.752,11.384,9.219,6.635,18.508,9.149,19.975,9.149,113.771
20,30.031,10.476,18.229,8.45,20.184,9.848,20.673,10.825,128.716
21,30.031,9.499,8.66,9.079,31.01,13.689,27.168,12.082,141.218
22,37.225,13.409,12.781,8.172,21.511,9.358,21.162,10.756,134.374
23,33.663,11.035,10.406,8.102,20.603,10.825,21.581,10.895,127.11
24,31.009,10.825,10.476,7.753,21.301,9.708,21.721,10.965,123.758
25,64.184,15.574,11.175,8.031,20.953,10.546,20.463,10.546,161.472
26,31.917,10.616,10.057,7.473,20.463,18.298,22.489,10.895,132.208
27,32.965,10.965,10.407,7.682,23.327,8.102,21.022,12.431,126.901
28,31.009,10.755,10.197,7.683,20.253,9.569,19.974,10.546,119.986
29,29.123,10.896,9.987,7.752,20.394,16.342,22.349,10.965,127.808
30,31.429,10.546,10.196,7.473,20.883,11.803,23.327,15.155,130.812
31,37.784,13.759,10.965,8.171,20.394,10.197,20.812,11.594,133.676
32,65.511,11.803,10.127,8.102,23.396,10.477,21.022,10.406,160.844
33,31.009,10.546,10.057,7.962,20.184,9.428,20.184,10.756,120.126
34,31.149,10.057,10.127,7.543,19.625,11.385,20.533,10.965,121.384
35,30.032,9.638,9.079,9.499,19.136,8.94,22.558,10.826,119.708
36,29.962,10.476,10.127,7.962,22.0,9.498,29.124,9.917,129.066
37,34.78,11.524,11.873,7.962,21.651,9.358,20.952,10.756,128.856
38,31.009,11.105,9.987,7.962,22.977,9.499,19.555,10.476,122.57
39,56.711,12.571,20.673,7.193,21.651,11.524,20.952,10.965,162.24
40,44.279,15.365,12.851,10.476,27.587,13.479,30.591,11.663,166.291
41,35.549,13.899,17.6,9.638,33.314,12.292,30.101,20.114,172.507
42,53.917,14.737,16.273,10.825,30.032,12.85,23.816,10.127,172.577
43,32.406,18.648,16.622,10.197,26.19,10.895,21.511,10.965,147.434
44,31.708,13.828,22.838,10.127,23.257,14.387,61.111,14.667,191.923
45,36.806,10.336,9.848,7.682,20.254,9.498,20.115,9.428,123.967
46,28.565,10.476,10.406,7.683,19.066,10.476,21.442,11.453,119.567
47,30.59,9.778,9.917,8.171,19.765,11.454,31.01,11.942,132.627
48,34.78,10.616,9.918,8.101,25.282,11.385,23.396,10.476,133.954
49,29.543,9.987,10.337,9.498,20.533,9.01,19.695,10.336,118.939
